index,id,group_id,phase_id,block_id,trial,choose_model,choose_speed,time,good_trial
1,s101,1,1,1,1,3,3,16.852,1
2,s101,1,1,1,2,,,,0
3,s101,1,1,1,3,3,3,15.991,1
4,s101,1,1,1,4,3,3,13.161,1
5,s101,1,1,1,5,3,3,14.775,1
6,s101,1,2,1,1,1,0,15.465,1
7,s101,1,2,1,2,1,1,12.835,1
8,s101,1,2,1,3,1,0,11.735,1
9,s101,1,2,1,4,0,3,10.727,1
10,s101,1,2,1,5,1,1,13.324,1
11,s101,1,2,2,6,1,0,15.167,1
12,s101,1,2,2,7,0,3,10.878,1
13,s101,1,2,2,8,0,3,11.694,1
14,s101,1,2,2,9,1,1,11.611,1
15,s101,1,2,2,10,0,3,10.341,1
16,s101,1,2,3,11,1,0,12.234,1
17,s101,1,2,3,12,0,3,12.07,1
18,s101,1,2,3,13,1,1,10.508,1
19,s101,1,2,3,14,0,3,8.827,1
20,s101,1,2,3,15,0,3,9.704,1
21,s101,1,2,4,16,1,0,10.919,1
22,s101,1,2,4,17,0,3,10.875,1
23,s101,1,2,4,18,1,1,8.411,1
24,s101,1,2,4,19,0,3,7.973,1
25,s101,1,2,4,20,0,3,8.512,1
26,s101,1,2,5,21,1,0,8.846,1
27,s101,1,2,5,22,0,3,9.8,1
28,s101,1,2,5,23,1,1,8.148,1
29,s101,1,2,5,24,0,3,8.658,1
30,s101,1,2,5,25,0,3,10.098,1
31,s101,1,3,1,1,,,,0
32,s101,1,3,1,2,3,3,10.789,1
33,s101,1,3,1,3,3,3,14.256,1
34,s101,1,3,1,4,3,3,11.489,1
35,s101,1,3,1,5,3,3,10.71,1
36,s102,1,1,1,1,3,3,18.01,1
37,s102,1,1,1,2,3,3,13.974,1
38,s102,1,1,1,3,3,3,14.003,1
39,s102,1,1,1,4,3,3,11.581,1
40,s102,1,1,1,5,3,3,11.353,1
41,s102,1,2,1,1,1,0,10.627,1
42,s102,1,2,1,2,1,0,10.769,1
43,s102,1,2,1,3,0,3,10.414,1
44,s102,1,2,1,4,0,3,12.637,1
45,s102,1,2,1,5,0,3,10.903,1
46,s102,1,2,2,6,1,0,9.08,1
47,s102,1,2,2,7,0,3,10.091,1
48,s102,1,2,2,8,0,3,10.214,1
49,s102,1,2,2,9,0,3,10.595,1
50,s102,1,2,2,10,0,3,10.233,1
51,s102,1,2,3,11,0,3,12.337,1
52,s102,1,2,3,12,0,3,8.234,1
53,s102,1,2,3,13,0,3,8.295,1
54,s102,1,2,3,14,0,3,9.527,1
55,s102,1,2,3,15,0,3,9.766,1
56,s102,1,2,4,16,1,0,11.265,1
57,s102,1,2,4,17,0,3,8.102,1
58,s102,1,2,4,18,0,3,7.86,1
59,s102,1,2,4,19,0,3,11.884,1
60,s102,1,2,4,20,0,3,8.962,1
61,s102,1,2,5,21,0,3,8.298,1
62,s102,1,2,5,22,0,3,7.827,1
63,s102,1,2,5,23,0,3,13.268,1
64,s102,1,2,5,24,1,1,8.749,1
65,s102,1,2,5,25,0,3,10.547,1
66,s102,1,3,1,1,3,3,8.582,1
67,s102,1,3,1,2,3,3,8.736,1
68,s102,1,3,1,3,3,3,10.558,1
69,s102,1,3,1,4,3,3,8.608,1
70,s102,1,3,1,5,3,3,10.787,1
71,s103,1,1,1,1,3,3,18.352,1
72,s103,1,1,1,2,3,3,14.252,1
73,s103,1,1,1,3,3,3,14.227,1
74,s103,1,1,1,4,3,3,14.098,1
75,s103,1,1,1,5,3,3,15.004,1
76,s103,1,2,1,1,0,3,13.806,1
77,s103,1,2,1,2,0,3,12.475,1
78,s103,1,2,1,3,0,3,11.482,1
79,s103,1,2,1,4,0,3,11.46,1
80,s103,1,2,1,5,0,3,10.558,1
81,s103,1,2,2,6,0,3,10.047,1
82,s103,1,2,2,7,0,3,10.146,1
83,s103,1,2,2,8,0,3,9.541,1
84,s103,1,2,2,9,0,3,9.544,1
85,s103,1,2,2,10,0,3,9.797,1
86,s103,1,2,3,11,0,3,8.916,1
87,s103,1,2,3,12,0,3,9.788,1
88,s103,1,2,3,13,1,1,15.057,1
89,s103,1,2,3,14,0,3,11.916,1
90,s103,1,2,3,15,0,3,12.606,1
91,s103,1,2,4,16,0,3,9.816,1
92,s103,1,2,4,17,0,3,8.964,1
93,s103,1,2,4,18,0,3,9.166,1
94,s103,1,2,4,19,0,3,8.963,1
95,s103,1,2,4,20,0,3,8.312,1
96,s103,1,2,5,21,0,3,8.417,1
97,s103,1,2,5,22,0,3,10.813,1
98,s103,1,2,5,23,0,3,11.405,1
99,s103,1,2,5,24,0,3,9.246,1
100,s103,1,2,5,25,0,3,8.175,1
101,s103,1,3,1,1,3,3,10.921,1
102,s103,1,3,1,2,3,3,9.328,1
103,s103,1,3,1,3,3,3,8.851,1
104,s103,1,3,1,4,3,3,10.174,1
105,s103,1,3,1,5,3,3,10.3,1
106,s104,1,1,1,1,3,3,18.264,1
107,s104,1,1,1,2,3,3,14.678,1
108,s104,1,1,1,3,3,3,11.226,1
109,s104,1,1,1,4,3,3,12.056,1
110,s104,1,1,1,5,3,3,11.775,1
111,s104,1,2,1,1,1,0,10.805,1
112,s104,1,2,1,2,1,0,12.061,1
113,s104,1,2,1,3,1,1,10.509,1
114,s104,1,2,1,4,0,3,11.063,1
115,s104,1,2,1,5,0,3,16.365,1
116,s104,1,2,2,6,1,0,9.35,1
117,s104,1,2,2,7,0,3,10.972,1
118,s104,1,2,2,8,0,3,15.25,1
119,s104,1,2,2,9,1,0,12.497,1
120,s104,1,2,2,10,0,3,13.672,1
121,s104,1,2,3,11,0,3,9.882,1
122,s104,1,2,3,12,0,3,9.652,1
123,s104,1,2,3,13,0,3,9.747,1
124,s104,1,2,3,14,0,3,9.676,1
125,s104,1,2,3,15,0,3,9.529,1
126,s104,1,2,4,16,0,3,10.491,1
127,s104,1,2,4,17,1,0,8.431,1
128,s104,1,2,4,18,0,3,10.774,1
129,s104,1,2,4,19,0,3,8.93,1
130,s104,1,2,4,20,0,3,10.247,1
131,s104,1,2,5,21,0,3,8.945,1
132,s104,1,2,5,22,0,3,8.809,1
133,s104,1,2,5,23,0,3,8.576,1
134,s104,1,2,5,24,0,3,10.184,1
135,s104,1,2,5,25,0,3,10.059,1
136,s104,1,3,1,1,3,3,9.403,1
137,s104,1,3,1,2,3,3,12.203,1
138,s104,1,3,1,3,3,3,9.272,1
139,s104,1,3,1,4,3,3,9.34,1
140,s104,1,3,1,5,3,3,8.937,1
141,s105,1,1,1,1,3,3,13.207,1
142,s105,1,1,1,2,,,,0
143,s105,1,1,1,3,3,3,10.76,1
144,s105,1,1,1,4,3,3,11.64,1
145,s105,1,1,1,5,3,3,18.627,1
146,s105,1,2,1,1,0,3,20.094,1
147,s105,1,2,1,2,0,3,13.685,1
148,s105,1,2,1,3,0,3,10.046,1
149,s105,1,2,1,4,0,3,10.206,1
150,s105,1,2,1,5,0,3,11.294,1
151,s105,1,2,2,6,0,3,12.152,1
152,s105,1,2,2,7,0,3,9.988,1
153,s105,1,2,2,8,0,3,11.973,1
154,s105,1,2,2,9,0,3,11.351,1
155,s105,1,2,2,10,0,3,8.993,1
156,s105,1,2,3,11,0,3,10.23,1
157,s105,1,2,3,12,0,3,11.065,1
158,s105,1,2,3,13,0,3,11.859,1
159,s105,1,2,3,14,0,3,9.067,1
160,s105,1,2,3,15,0,3,10.479,1
161,s105,1,2,4,16,0,3,10.309,1
162,s105,1,2,4,17,0,3,8.787,1
163,s105,1,2,4,18,0,3,9.098,1
164,s105,1,2,4,19,0,3,10.719,1
165,s105,1,2,4,20,0,3,8.915,1
166,s105,1,2,5,21,0,3,8.358,1
167,s105,1,2,5,22,0,3,10.978,1
168,s105,1,2,5,23,0,3,8.728,1
169,s105,1,2,5,24,0,3,11.832,1
170,s105,1,2,5,25,,,,0
171,s105,1,3,1,1,3,3,8.579,1
172,s105,1,3,1,2,3,3,8.973,1
173,s105,1,3,1,3,3,3,8.329,1
174,s105,1,3,1,4,3,3,8.214,1
175,s105,1,3,1,5,3,3,10.873,1
176,s106,1,1,1,1,3,3,19.665,1
177,s106,1,1,1,2,3,3,15.226,1
178,s106,1,1,1,3,3,3,17.043,1
179,s106,1,1,1,4,3,3,18.926,1
180,s106,1,1,1,5,3,3,16.723,1
181,s106,1,2,1,1,1,0,13.435,1
182,s106,1,2,1,2,0,3,11.9,1
183,s106,1,2,1,3,0,3,12.371,1
184,s106,1,2,1,4,0,3,13.542,1
185,s106,1,2,1,5,0,3,11.69,1
186,s106,1,2,2,6,0,3,10.554,1
187,s106,1,2,2,7,0,3,12.425,1
188,s106,1,2,2,8,0,3,10.755,1
189,s106,1,2,2,9,0,3,9.959,1
190,s106,1,2,2,10,0,3,10.555,1
191,s106,1,2,3,11,0,3,10.24,1
192,s106,1,2,3,12,0,3,11.275,1
193,s106,1,2,3,13,0,3,10.285,1
194,s106,1,2,3,14,0,3,10.263,1
195,s106,1,2,3,15,0,3,10.325,1
196,s106,1,2,4,16,0,3,9.394,1
197,s106,1,2,4,17,0,3,10.955,1
198,s106,1,2,4,18,0,3,10.155,1
199,s106,1,2,4,19,0,3,10.041,1
200,s106,1,2,4,20,0,3,10.065,1
201,s106,1,2,5,21,0,3,8.739,1
202,s106,1,2,5,22,0,3,10.93,1
203,s106,1,2,5,23,0,3,10.157,1
204,s106,1,2,5,24,0,3,9.657,1
205,s106,1,2,5,25,0,3,10.195,1
206,s106,1,3,1,1,3,3,12.645,1
207,s106,1,3,1,2,3,3,11.104,1
208,s106,1,3,1,3,3,3,10.463,1
209,s106,1,3,1,4,3,3,10.136,1
210,s106,1,3,1,5,3,3,10.823,1
211,s107,1,1,1,1,,,,0
212,s107,1,1,1,2,,,,0
213,s107,1,1,1,3,3,3,16.607,1
214,s107,1,1,1,4,3,3,13.237,1
215,s107,1,1,1,5,3,3,18.988,1
216,s107,1,2,1,1,1,1,15.973,1
217,s107,1,2,1,2,1,0,12.139,1
218,s107,1,2,1,3,0,3,12.245,1
219,s107,1,2,1,4,0,3,14.204,1
220,s107,1,2,1,5,0,3,12.296,1
221,s107,1,2,2,6,1,0,11.783,1
222,s107,1,2,2,7,0,3,10.827,1
223,s107,1,2,2,8,0,3,12.765,1
224,s107,1,2,2,9,0,3,12.657,1
225,s107,1,2,2,10,0,3,10.832,1
226,s107,1,2,3,11,0,3,14.44,1
227,s107,1,2,3,12,0,3,12.695,1
228,s107,1,2,3,13,0,3,11.775,1
229,s107,1,2,3,14,0,3,10.941,1
230,s107,1,2,3,15,0,3,11.935,1
231,s107,1,2,4,16,0,3,10.007,1
232,s107,1,2,4,17,0,3,11.509,1
233,s107,1,2,4,18,0,3,10.878,1
234,s107,1,2,4,19,0,3,10.951,1
235,s107,1,2,4,20,0,3,9.485,1
236,s107,1,2,5,21,0,3,12.482,1
237,s107,1,2,5,22,0,3,9.942,1
238,s107,1,2,5,23,0,3,9.968,1
239,s107,1,2,5,24,0,3,9.702,1
